,Unnamed: 0,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,weight number,WeightClass
27,27,Yoshihiro Akiyama,NC),,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,170,Welterweight
28,28,Rostem Akman,6-2-0,,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,170,Welterweight
29,29,Razak Al-Hassan,13-5-0,,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,205,Lightheavyweight
30,30,Mostapha Al-Turk,6-6-0,,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,245,Heavyweight
31,31,Herdem Alacabek,5-1-0,,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,205,Lightheavyweight
32,32,Javi Alanis,0-4-0,,"5' 6""",135 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,Bantamweight
33,33,Heili Alateng,14-8-1,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,135,Bantamweight
34,34,Amir Albazi,13-1-0,The Prince,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.55,0.42,0.64,0.81,3.19,1.0,0.0,3.2,125,Flyweight
35,35,Brett Albee,3-2-0,,--,225 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,Heavyweight
36,36,John Albert,6-5-0,Prince,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,135,Bantamweight
37,37,Junior Albini,14-6-0,Baby,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,264,Heavyweight
38,38,Wes Albritton,0-1-0,,"5' 10""",188 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,Lightheavyweight
39,39,Aleksandra Albu,3-2-0,Stitch,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,115,Strawweight
40,40,Israel Albuquerque,0-3-0,,--,185 lbs.,--,Orthodox,--,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,185,Middleweight
42,42,Iuri Alcantara,NC),Marajo,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,135,Bantamweight
43,43,Ildemar Alcantara,21-11-0,Marajo,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,185,Middleweight
44,44,Alfonso Alcarez,1-3-1,,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,Featherweight
45,45,Gilbert Aldana,6-2-0,El Peligro,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,250,Heavyweight
46,46,Irene Aldana,12-6-0,,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,135,Bantamweight
47,47,Hector Aldana,4-3-0,,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,170,Welterweight
48,48,Jose Aldo,28-7-0,,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.48,0.44,3.55,0.62,0.6,0.61,0.9,0.1,135,Bantamweight
49,49,JJ Aldrich,8-4-0,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,0.4,4.68,0.62,0.31,0.25,0.53,0.0,125,Flyweight
50,50,Jim Alers,NC),The Beast,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,145,Featherweight
51,51,John Alessio,NC),The Natural,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,155,Lightweight
52,52,Houston Alexander,NC),The Assassin,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,205,Lightheavyweight
53,53,Kenneth Alexander,NC),The Machine,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,155,Lightweight
54,54,Marcio Alexandre Junior,17-4-0,Lyoto,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,185,Middleweight
55,55,Olaf Alfonso,8-12-0,,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,170,Welterweight
56,56,Pablo Alfonso,9-7-0,The Hurricane,"5' 8""",145 lbs.,--,,"May 09, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,Featherweight
58,58,Bill Algeo,14-5-0,Senor Perfecto,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,145,Featherweight
59,59,Royce Alger,3-2-0,,"5' 10""",199 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,Lightheavyweight
60,60,Amir Aliakbari,10-1-0,,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,Heavyweight
61,61,Sultan Aliev,15-3-0,,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,170,Welterweight
62,62,John Allan,NC),,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.59,0.48,4.39,0.51,2.54,0.66,0.57,1.9,205,Lightheavyweight
63,63,George Allen,13-19-2,,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,205,Lightheavyweight
64,64,Arnold Allen,16-1-0,Almighty,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,145,Featherweight
65,65,Brendan Allen,15-4-0,All In,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,185,Middleweight
66,66,Ben Alloway,18-8-0,Blanco,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,170,Welterweight
67,67,Ricardo Almeida,13-5-0,Big Dog,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,170,Welterweight
68,68,Magno Almeida,NC),,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,155,Lightweight
69,69,Thomas Almeida,22-4-0,Thominhas,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,145,Featherweight
70,70,Ericka Almeida,7-3-0,,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,115,Strawweight
71,71,Estefani Almeida,7-3-0,,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,125,Flyweight
72,72,Mauricio Alonso,NC),,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,170,Welterweight
73,73,Sarah Alpar,9-5-0,Too Sweet,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,135,Bantamweight
74,74,Ali AlQaisi,8-5-0,The Royal Fighter,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,135,Bantamweight
75,75,Rico Altamirano,4-3-0,,"5' 10""",170 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,Welterweight
76,76,Mike Altman,1-4-0,,"5' 10""",185 lbs.,--,Orthodox,--,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,185,Middleweight
77,77,Sean Alvarez,4-3-0,,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,235,Heavyweight
78,78,Eddie Alvarez,NC),,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,155,Lightweight
79,79,Jaime Alvarez,6-1-0,,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,125,Flyweight
80,80,Joel Alvarez,18-2-0,El Fenomeno,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,155,Lightweight
81,81,Thiago Alves,23-15-0,Pitbull,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,170,Welterweight
83,83,Amilcar Alves,15-12-0,,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,170,Welterweight
84,84,Warlley Alves,14-4-0,,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.01,0.46,3.69,0.5,1.39,0.52,0.75,1.0,170,Welterweight
85,85,Rafael Alves,19-9-0,The Turn,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 11, 1990",2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,145,Featherweight
86,86,Sam Alvey,NC),Smile'N,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,205,Lightheavyweight
87,87,Andre Amado,6-4-1,Dida,"6' 0""",154 lbs.,--,Orthodox,--,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,154,Lightweight
88,88,Adlan Amagov,14-2-1,Borz,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,170,Welterweight
89,89,Maiara Amanajas dos Santos,7-3-0,,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,115,Strawweight
90,90,Chris Amarante,2-0-0,,--,185 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
91,91,Jimmy Ambriz,17-21-1,The Titan,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,315,Heavyweight
92,92,JJ Ambrose,NC),,"5' 10""",170 lbs.,--,Orthodox,--,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,170,Welterweight
93,93,Alen Amedovski,8-2-0,,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,185,Middleweight
94,94,Makwan Amirkhani,16-5-0,Mr. Finland,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,145,Featherweight
95,95,Bertrand Amoussou,1-1-0,,"5' 8""",190 lbs.,--,Orthodox,--,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,190,Lightheavyweight
96,96,Karl Amoussou,27-7-2,The Psycho,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,185,Middleweight
97,97,Eryk Anders,13-5-0,Ya Boi,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.02,0.45,4.18,0.51,1.34,0.34,0.8,0.1,185,Middleweight
98,98,Matt Andersen,14-8-1,,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,Heavyweight
99,99,Andy Anderson,0-1-0,The Hammer,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,Heavyweight
100,100,Lowell Anderson,0-1-0,,"5' 6""",160 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,Welterweight
101,101,Corey Anderson,14-5-0,Overtime,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,205,Lightheavyweight
102,102,Derek Anderson,NC),Barbaric,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,155,Lightweight
103,103,Megan Anderson,11-4-0,,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.82,0.46,2.94,0.38,0.56,0.33,0.53,0.6,145,Featherweight
104,104,Alex Andrade,10-5-0,El Toro,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,200,Lightheavyweight
105,105,Jessica Andrade,21-8-0,Bate Estaca,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,115,Strawweight
106,106,Viscardi Andrade,19-6-0,,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,170,Welterweight
107,107,Jermaine Andre,14-4-0,,"5' 7""",200 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,Lightheavyweight
108,108,Dylan Andrews,NC),The Villain,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,185,Middleweight
109,109,Reese Andy,7-3-0,Riptide,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,205,Lightheavyweight
110,110,Julius Anglickas,5-1-0,,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,205,Lightheavyweight
111,111,Collin Anglin,8-1-0,,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,145,Featherweight
112,112,Yoji Anjo,0-5-1,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,205,Lightheavyweight
113,113,Magomed Ankalaev,14-1-0,,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.58,0.56,1.36,0.68,0.62,0.33,0.85,0.0,205,Lightheavyweight
114,114,Nina Ansaroff,10-6-0,,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,115,Strawweight
115,115,Gadzhimurad Antigulov,20-8-0,,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,205,Lightheavyweight
116,116,Adam Antolin,12-3-0,Captain Chaos,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,125,Flyweight
117,117,Angelo Antonio,1-4-0,,--,205 lbs.,--,Orthodox,--,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,205,Lightheavyweight
118,118,Azunna Anyanwu,14-5-0,Zulu,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,251,Heavyweight
119,119,Shinsho Anzai,10-3-0,Animal,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,170,Welterweight
120,120,Shinya Aoki,NC),Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,154,Lightweight
121,121,Josh Appelt,15-7-0,,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,255,Heavyweight
122,122,Erik Apple,10-3-0,,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,170,Welterweight
123,123,Kenji Arai,15-15-5,,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,145,Featherweight
124,124,Romie Aram,7-1-0,,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,170,Welterweight
125,125,Felipe Arantes,NC),Sertanejo,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,135,Bantamweight
126,126,Igor Araujo,NC),,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,170,Welterweight
127,127,Viviane Araujo,9-2-0,Vivi,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.77,0.5,5.32,0.56,1.88,0.53,0.92,0.0,125,Flyweight
128,128,Julio Arce,16-4-0,,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,145,Featherweight
129,129,Art Arciniega,15-7-0,King Arthur,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0,145,Featherweight
130,130,Tristan Arenal,7-4-0,,--,155 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
131,131,Andrei Arlovski,NC),The Pitbull,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.48,0.44,2.77,0.58,0.48,0.36,0.79,0.3,240,Heavyweight
133,133,Austin Arnett,16-6-0,,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,145,Featherweight
134,134,Ricardo Arona,14-5-0,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,205,Lightheavyweight
135,135,Chalid Arrab,7-3-0,Die Faust,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0,205,Lightheavyweight
136,136,Akbarh Arreola,23-11-1,El Caballero,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,155,Lightweight
137,137,Matt Arroyo,3-3-0,No Regard,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,170,Welterweight
138,138,Antonio Arroyo,9-3-0,,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",3.12,0.69,1.87,0.43,1.95,0.41,0.44,0.4,185,Middleweight
139,139,Gilles Arsene,1-1-0,,"5' 9""",190 lbs.,--,Southpaw,--,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0,190,Lightheavyweight
140,140,Veta Arteaga,3-1-0,,"5' 7""",125 lbs.,--,,--,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0,125,Flyweight
141,141,Cesar Arzamendia,8-3-0,Goku,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,155,Lightweight
142,142,Teddy Ash,14-5-0,Bear,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,185,Middleweight
143,143,Arman Ashimov,11-3-1,Mustafa Ozturik,"5' 6""",125 lbs.,--,,"Jan 14, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,Flyweight
144,144,Askar Askarov,12-0-1,Bullet,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.2,0.52,2.51,0.55,2.0,0.18,0.64,0.0,125,Flyweight
145,145,Cyril Asker,9-4-0,Silverback,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,247,Heavyweight
146,146,Scott Askham,14-4-0,,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,185,Middleweight
147,147,Ben Askren,NC),Funky,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,170,Welterweight
148,148,Ibo Aslan,8-0-0,The Last Ottoman,"6' 3""",205 lbs.,--,,"Apr 23, 1996",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,Lightheavyweight
149,149,Tom Aspinall,9-2-0,,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",11.14,0.74,2.57,0.71,6.43,1.0,0.0,0.0,256,Heavyweight
