,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
64,Arnold Allen,16-1-0,Almighty,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.19,41%,2.0,67%,1.36,52%,76%,0.5
65,Brendan Allen,15-4-0,All In,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.55,59%,4.57,39%,1.17,37%,50%,2.0
66,Ben Alloway,18-8-0,Blanco,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.9,59%,0.62,50%,26%,0.0
67,Ricardo Almeida,13-5-0,Big Dog,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2
68,Magno Almeida,NC),,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.6,41%,0.0,0%,40%,5.0
69,Thomas Almeida,22-4-0,Thominhas,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",5.39,44%,4.69,64%,0.0,0%,75%,0.0
70,Ericka Almeida,7-3-0,,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.5,33%,37%,0.0
71,Estefani Almeida,7-3-0,,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.0,0%,0%,0.0
72,Mauricio Alonso,NC),,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0.0,0%,0%,0.0
73,Sarah Alpar,9-5-0,Too Sweet,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.11,54%,4.76,32%,2.69,28%,50%,0.7
74,Ali AlQaisi,8-5-0,The Royal Fighter,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.5,29%,60%,1.0
75,Rico Altamirano,4-3-0,,"5' 10""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
76,Mike Altman,1-4-0,,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.0,0%,0%,0.0
77,Sean Alvarez,4-3-0,,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.0,0%,0%,0.0
78,Eddie Alvarez,NC),,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
79,Jaime Alvarez,6-1-0,,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.0,33%,50%,0.0
80,Joel Alvarez,18-2-0,El Fenomeno,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",2.84,37%,3.31,53%,0.0,0%,0%,1.6
81,Thiago Alves,23-15-0,Pitbull,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
82,Anthony Alves,1-4-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
83,Amilcar Alves,15-12-0,,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0.0,0%,53%,0.0
84,Warlley Alves,14-4-0,,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.01,46%,3.69,50%,1.39,52%,75%,1.0
85,Rafael Alves,19-9-0,The Turn,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 11, 1990",2.02,45%,3.66,59%,0.0,0%,100%,1.9
86,Sam Alvey,NC),Smile'N,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1
87,Andre Amado,6-4-1,Dida,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.0,0%,20%,0.0
88,Adlan Amagov,14-2-1,Borz,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
89,Maiara Amanajas dos Santos,7-3-0,,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.0,0%,100%,0.0
90,Chris Amarante,2-0-0,,--,185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
91,Jimmy Ambriz,17-21-1,The Titan,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
92,JJ Ambrose,NC),,"5' 10""",170 lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0.0,0%,50%,0.0
93,Alen Amedovski,8-2-0,,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.52,28%,3.14,37%,0.0,0%,0%,0.0
94,Makwan Amirkhani,16-5-0,Mr. Finland,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.42,44%,2.63,51%,3.37,37%,57%,1.4
95,Bertrand Amoussou,1-1-0,,"5' 8""",190 lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0.0,0%,0%,0.0
96,Karl Amoussou,27-7-2,The Psycho,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.0,0%,25%,1.0
97,Eryk Anders,13-5-0,Ya Boi,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.02,45%,4.18,51%,1.34,34%,80%,0.1
98,Matt Andersen,14-8-1,,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0
99,Andy Anderson,0-1-0,The Hammer,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0
100,Lowell Anderson,0-1-0,,"5' 6""",160 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
101,Corey Anderson,14-5-0,Overtime,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
102,Derek Anderson,NC),Barbaric,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0
103,Megan Anderson,11-4-0,,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.82,46%,2.94,38%,0.56,33%,53%,0.6
104,Alex Andrade,10-5-0,El Toro,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.2,36%,2.6,53%,0.0,0%,25%,0.8
105,Jessica Andrade,21-8-0,Bate Estaca,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.38,49%,5.26,53%,3.11,57%,76%,0.4
106,Viscardi Andrade,19-6-0,,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
107,Jermaine Andre,14-4-0,,"5' 7""",200 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
108,Dylan Andrews,NC),The Villain,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
109,Reese Andy,7-3-0,Riptide,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0.0
110,Julius Anglickas,5-1-0,,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
111,Collin Anglin,8-1-0,,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",5.87,55%,3.47,58%,3.0,75%,100%,0.0
112,Yoji Anjo,0-5-1,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.0,0%,3.13,25%,0.0,0%,0%,0.0
113,Magomed Ankalaev,14-1-0,,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.58,56%,1.36,68%,0.62,33%,85%,0.0
114,Nina Ansaroff,10-6-0,,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",4.81,47%,3.55,54%,0.29,40%,77%,0.6
115,Gadzhimurad Antigulov,20-8-0,,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
116,Adam Antolin,12-3-0,Captain Chaos,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.0,69%,0.0,0%,100%,0.0
117,Angelo Antonio,1-4-0,,--,205 lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0.0,0%,0%,0.0
118,Azunna Anyanwu,14-5-0,Zulu,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
119,Shinsho Anzai,10-3-0,Animal,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
120,Shinya Aoki,NC),Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
121,Josh Appelt,15-7-0,,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.5,32%,0.0,0%,33%,0.0
122,Erik Apple,10-3-0,,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.0,0%,0.54,81%,0.0,0%,0%,8.1
123,Kenji Arai,15-15-5,,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.0,0%,0%,0.0
124,Romie Aram,7-1-0,,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.8,35%,2.83,50%,2.5,62%,83%,0.0
125,Felipe Arantes,NC),Sertanejo,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
126,Igor Araujo,NC),,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
127,Viviane Araujo,9-2-0,Vivi,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.77,50%,5.32,56%,1.88,53%,92%,0.0
128,Julio Arce,16-4-0,,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.25,36%,2.87,67%,0.58,30%,93%,0.6
129,Art Arciniega,15-7-0,King Arthur,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0.0,0%,50%,1.0
130,Tristan Arenal,7-4-0,,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
131,Andrei Arlovski,NC),The Pitbull,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.48,44%,2.77,58%,0.48,36%,79%,0.3
132,Joey Armstrong,5-2-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
133,Austin Arnett,16-6-0,,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
134,Ricardo Arona,14-5-0,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
135,Chalid Arrab,7-3-0,Die Faust,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0
136,Akbarh Arreola,23-11-1,El Caballero,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
137,Matt Arroyo,3-3-0,No Regard,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
138,Antonio Arroyo,9-3-0,,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",3.12,69%,1.87,43%,1.95,41%,44%,0.4
139,Gilles Arsene,1-1-0,,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0.0,0%,0%,0.0
140,Veta Arteaga,3-1-0,,"5' 7""",125 lbs.,--,,--,3.2,36%,1.92,65%,0.0,0%,40%,0.0
141,Cesar Arzamendia,8-3-0,Goku,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4
142,Teddy Ash,14-5-0,Bear,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,61%,6.8,28%,0.0,0%,100%,0.0
143,Arman Ashimov,11-3-1,Mustafa Ozturik,"5' 6""",125 lbs.,--,,"Jan 14, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0
144,Askar Askarov,12-0-1,Bullet,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.2,52%,2.51,55%,2.0,18%,64%,0.0
145,Cyril Asker,9-4-0,Silverback,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
146,Scott Askham,14-4-0,,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
147,Ben Askren,NC),Funky,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9
148,Ibo Aslan,8-0-0,The Last Ottoman,"6' 3""",205 lbs.,--,,"Apr 23, 1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0
149,Tom Aspinall,9-2-0,,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",11.14,74%,2.57,71%,6.43,100%,0%,0.0
150,Bruno Assis,8-4-0,Brunao,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",1.27,43%,3.2,36%,2.0,50%,66%,1.0
151,Junior Assuncao,16-6-0,,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7
152,Raphael Assuncao,27-8-0,,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.26,40%,2.33,68%,1.48,38%,80%,0.3
153,Bazigit Atajev,17-1-0,Volk,"6' 1""",230 lbs.,--,Orthodox,--,0.87,41%,3.14,49%,1.0,33%,0%,0.0
154,Rich Attonito,10-5-0,The Raging Bull,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0
155,Olivier Aubin-Mercier,11-5-0,The Canadian Gangster,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5
156,Pat Audinwood,11-2-1,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.8,50%,0%,0.0
157,Jose Augusto,NC),Gugu,"6' 3""",251 lbs.,--,,"Mar 28, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0
158,Marcus Aurelio,22-10-0,Maximus,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
159,David Avellan,2-1-0,,"5' 9""",185 lbs.,--,Orthodox,--,3.33,25%,10.0,57%,0.0,0%,0%,0.0
160,Blas Avena,NC),The Disciple,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8
161,Levi Avera,18-15-0,,"6' 1""",170 lbs.,--,,"May 17, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0
162,Anthony Avila,13-5-0,,"5' 7""",145 lbs.,--,,"Dec 29, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0
163,Chris Avila,5-4-0,,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0.0,0%,46%,0.0
164,Julia Avila,8-2-0,Raging Panda,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",3.1,41%,2.9,54%,0.49,50%,60%,0.0
165,Saad Awad,20-9-0,Assassin,"5' 11""",155 lbs.,--,,"Jun 07, 1983",2.13,26%,1.87,60%,0.5,16%,100%,0.5
166,Javy Ayala,10-5-0,Eye Candy,"6' 1""",265 lbs.,--,,"Aug 20, 1988",0.83,25%,5.0,33%,0.0,0%,0%,0.0
167,Jessin Ayari,16-6-0,,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",3.53,37%,3.59,58%,0.0,0%,50%,0.3
168,Abu Azaitar,NC),,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",3.2,37%,1.27,57%,1.0,100%,25%,0.0
169,Ottman Azaitar,13-0-0,Bulldozer,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",8.43,57%,1.76,67%,0.0,0%,100%,0.0
170,Luiz Azeredo,15-10-0,,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3
171,Luciano Azevedo,17-9-1,,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0
172,Hunter Azure,9-1-0,,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",4.17,52%,1.99,62%,2.52,45%,76%,1.4
173,Niklas Backstrom,NC),,"6' 1""",145 lbs.,--,Orthodox,"Aug 22, 1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2
